Neighbourhood Name,Hood_ID,Population density per square kilometre,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),  Average after-tax income of households in 2015 ($),Unemployment rate,Population,Average age
Victoria Village,43.0,3710.0,2630.0,2030.0,7170.0,2270.0,3405.0,570.0,171271.0,10.1,18075.0,43.159059474412174
Waterfront Communities-The Island,77.0,8943.0,3650.0,7840.0,45105.0,4680.0,4635.0,365.0,662333.0,5.2,66275.0,39.48981516408902
West Hill,136.0,2856.0,4635.0,3950.0,10765.0,3785.0,4240.0,625.0,316750.0,11.6,28000.0,40.39357142857143
West Humber-Clairville,1.0,1117.0,5060.0,5445.0,13845.0,3990.0,4980.0,615.0,426156.0,9.6,33935.0,39.830705761013704
Westminster-Branson,35.0,7339.0,3440.0,3355.0,10865.0,3500.0,5130.0,1000.0,332776.0,9.2,27290.0,43.850128252107
Weston,113.0,7197.0,3100.0,2225.0,7785.0,2430.0,2445.0,395.0,171044.0,10.6,18380.0,39.9417845484222
Weston-Pelham Park,91.0,7601.0,1675.0,1415.0,5275.0,1415.0,1325.0,150.0,127491.0,8.5,11255.0,39.448911594846734
Wexford/Maryvale,119.0,2724.0,4215.0,3650.0,11380.0,3940.0,4715.0,905.0,336503.0,9.0,28805.0,42.18607880576289
Willowdale East,51.0,10087.0,5920.0,6940.0,25850.0,5460.0,6270.0,830.0,572155.0,8.5,51270.0,40.24800078018335
Willowdale West,37.0,5820.0,1785.0,2230.0,7480.0,2070.0,3370.0,655.0,272986.0,9.8,17590.0,44.515633882888004
Willowridge-Martingrove-Richview,7.0,4007.0,3555.0,2625.0,8140.0,2905.0,4905.0,885.0,412302.0,8.5,23015.0,44.03867043232675
Woburn,137.0,4345.0,9625.0,7660.0,21945.0,6245.0,8010.0,1130.0,629030.0,10.6,54615.0,39.40217888858372
Woodbine Corridor,64.0,7838.0,2325.0,1035.0,6165.0,1625.0,1380.0,170.0,240272.0,7.7,12700.0,38.94586614173228
Woodbine-Lumsden,60.0,6722.0,1165.0,675.0,3790.0,1150.0,1095.0,125.0,147462.0,6.6,8000.0,41.5246875
Wychwood,94.0,8541.0,1860.0,1320.0,6420.0,1595.0,3150.0,880.0,239484.0,5.2,15225.0,45.86551724137931
Yonge-Eglinton,100.0,7162.0,1800.0,1225.0,5860.0,1325.0,1600.0,165.0,222648.0,6.9,11975.0,40.151983298538624
Yonge-St.Clair,97.0,10708.0,1210.0,920.0,5960.0,1540.0,2905.0,470.0,541217.0,5.9,13005.0,47.00384467512495
York University Heights,27.0,2086.0,4045.0,4750.0,12290.0,2965.0,3530.0,400.0,302358.0,10.7,27980.0,38.65484274481773
Yorkdale-Glen Park,31.0,2451.0,1960.0,1870.0,5860.0,1810.0,3295.0,775.0,213860.0,8.0,15570.0,45.10918432883751
