Neighbourhood Name,MCI,number_of_crime,Hood_ID,population_density,Unemployment rate,Population,Average age,household_income
Church-Yonge Corridor,Break and Enter,144.0,75.0,23044.0,8.5,31595.0,40.79071055546764,443734.0
Church-Yonge Corridor,Robbery,114.0,75.0,23044.0,8.5,31595.0,40.79071055546764,443734.0
Church-Yonge Corridor,Theft Over,38.0,75.0,23044.0,8.5,31595.0,40.79071055546764,443734.0
Church-Yonge Corridor,bicycle theft,198.0,75.0,23044.0,8.5,31595.0,40.79071055546764,443734.0
Church-Yonge Corridor,homicide,3.0,75.0,23044.0,8.5,31595.0,40.79071055546764,443734.0
Clairlea-Birchmount,Assault,245.0,120.0,3632.0,8.7,27650.0,39.783273056057865,350777.0
Clairlea-Birchmount,Auto Theft,44.0,120.0,3632.0,8.7,27650.0,39.783273056057865,350777.0
Clairlea-Birchmount,Break and Enter,87.0,120.0,3632.0,8.7,27650.0,39.783273056057865,350777.0
Clairlea-Birchmount,Robbery,46.0,120.0,3632.0,8.7,27650.0,39.783273056057865,350777.0
Clairlea-Birchmount,Theft Over,16.0,120.0,3632.0,8.7,27650.0,39.783273056057865,350777.0
Clairlea-Birchmount,bicycle theft,7.0,120.0,3632.0,8.7,27650.0,39.783273056057865,350777.0
Clairlea-Birchmount,homicide,1.0,120.0,3632.0,8.7,27650.0,39.783273056057865,350777.0
Clanton Park,Assault,62.0,33.0,3979.0,6.1,16855.0,40.28018392168496,168893.0
Clanton Park,Auto Theft,49.0,33.0,3979.0,6.1,16855.0,40.28018392168496,168893.0
Clanton Park,Break and Enter,41.0,33.0,3979.0,6.1,16855.0,40.28018392168496,168893.0
Clanton Park,Robbery,5.0,33.0,3979.0,6.1,16855.0,40.28018392168496,168893.0
Clanton Park,Theft Over,6.0,33.0,3979.0,6.1,16855.0,40.28018392168496,168893.0
Clanton Park,bicycle theft,2.0,33.0,3979.0,6.1,16855.0,40.28018392168496,168893.0
Clanton Park,homicide,1.0,33.0,3979.0,6.1,16855.0,40.28018392168496,168893.0
Cliffcrest,Assault,108.0,123.0,2273.0,9.7,16300.0,41.6361963190184,248846.0
Cliffcrest,Auto Theft,10.0,123.0,2273.0,9.7,16300.0,41.6361963190184,248846.0
Cliffcrest,Break and Enter,57.0,123.0,2273.0,9.7,16300.0,41.6361963190184,248846.0
Cliffcrest,Robbery,24.0,123.0,2273.0,9.7,16300.0,41.6361963190184,248846.0
Cliffcrest,Theft Over,4.0,123.0,2273.0,9.7,16300.0,41.6361963190184,248846.0
Cliffcrest,bicycle theft,7.0,123.0,2273.0,9.7,16300.0,41.6361963190184,248846.0
Corso Italia-Davenport,Assault,70.0,92.0,7478.0,7.2,14440.0,41.37032548476454,304000.0
Corso Italia-Davenport,Auto Theft,7.0,92.0,7478.0,7.2,14440.0,41.37032548476454,304000.0
Corso Italia-Davenport,Break and Enter,15.0,92.0,7478.0,7.2,14440.0,41.37032548476454,304000.0
Corso Italia-Davenport,Robbery,29.0,92.0,7478.0,7.2,14440.0,41.37032548476454,304000.0
Corso Italia-Davenport,Theft Over,2.0,92.0,7478.0,7.2,14440.0,41.37032548476454,304000.0
Corso Italia-Davenport,bicycle theft,9.0,92.0,7478.0,7.2,14440.0,41.37032548476454,304000.0
Danforth,Assault,57.0,66.0,8554.0,6.2,9870.0,40.88981762917933,260052.0
Danforth,Auto Theft,5.0,66.0,8554.0,6.2,9870.0,40.88981762917933,260052.0
Danforth,Break and Enter,40.0,66.0,8554.0,6.2,9870.0,40.88981762917933,260052.0
Danforth,Robbery,17.0,66.0,8554.0,6.2,9870.0,40.88981762917933,260052.0
Danforth,Theft Over,5.0,66.0,8554.0,6.2,9870.0,40.88981762917933,260052.0
Danforth,bicycle theft,24.0,66.0,8554.0,6.2,9870.0,40.88981762917933,260052.0
Danforth,homicide,1.0,66.0,8554.0,6.2,9870.0,40.88981762917933,260052.0
