Neighbourhood Name,MCI,number_of_crime
Flemingdon Park,bicycle theft,4
Forest Hill North,Assault,23
Forest Hill North,Auto Theft,7
Forest Hill North,Break and Enter,18
Forest Hill North,Robbery,8
Forest Hill North,Theft Over,2
Forest Hill North,bicycle theft,13
Forest Hill South,Assault,10
Forest Hill South,Auto Theft,9
Forest Hill South,Break and Enter,31
Forest Hill South,Robbery,1
Forest Hill South,Theft Over,6
Forest Hill South,bicycle theft,9
Glenfield-Jane Heights,Assault,306
Glenfield-Jane Heights,Auto Theft,60
Glenfield-Jane Heights,Break and Enter,28
Glenfield-Jane Heights,Robbery,69
Glenfield-Jane Heights,Theft Over,12
Glenfield-Jane Heights,bicycle theft,10
Glenfield-Jane Heights,homicide,1
Greenwood-Coxwell,Assault,99
Greenwood-Coxwell,Auto Theft,13
Greenwood-Coxwell,Break and Enter,63
Greenwood-Coxwell,Robbery,10
Greenwood-Coxwell,Theft Over,7
Greenwood-Coxwell,bicycle theft,36
Guildwood,Assault,43
Guildwood,Auto Theft,4
Guildwood,Break and Enter,17
Guildwood,Robbery,8
Guildwood,Theft Over,1
Guildwood,bicycle theft,6
Henry Farm,Assault,74
Henry Farm,Auto Theft,10
Henry Farm,Break and Enter,13
Henry Farm,Robbery,8
Henry Farm,Theft Over,3
Henry Farm,bicycle theft,2
High Park North,Assault,90
High Park North,Auto Theft,7
High Park North,Break and Enter,28
High Park North,Robbery,23
High Park North,Theft Over,1
High Park North,bicycle theft,46
High Park-Swansea,Assault,109
High Park-Swansea,Auto Theft,11
High Park-Swansea,Break and Enter,36
High Park-Swansea,Robbery,22
High Park-Swansea,Theft Over,5
High Park-Swansea,bicycle theft,55
Highland Creek,Assault,61
Highland Creek,Auto Theft,8
Highland Creek,Break and Enter,34
Highland Creek,Robbery,8
Highland Creek,Theft Over,1
Highland Creek,bicycle theft,15
Hillcrest Village,Assault,41
Hillcrest Village,Auto Theft,22
Hillcrest Village,Break and Enter,34
Hillcrest Village,Robbery,15
Hillcrest Village,Theft Over,1
Hillcrest Village,bicycle theft,3
Humber Heights-Westmount,Assault,31
Humber Heights-Westmount,Auto Theft,16
Humber Heights-Westmount,Break and Enter,24
Humber Heights-Westmount,Robbery,8
Humber Heights-Westmount,Theft Over,4
Humber Heights-Westmount,bicycle theft,1
Humber Heights-Westmount,homicide,1
Humber Summit,Assault,118
Humber Summit,Auto Theft,60
Humber Summit,Break and Enter,41
Humber Summit,Robbery,23
Humber Summit,Theft Over,19
Humber Summit,bicycle theft,6
Humbermede,Assault,114
Humbermede,Auto Theft,44
Humbermede,Break and Enter,24
Humbermede,Robbery,24
Humbermede,Theft Over,1
Humbermede,bicycle theft,3
Humbermede,homicide,1
Humewood-Cedarvale,Assault,52
Humewood-Cedarvale,Auto Theft,17
Humewood-Cedarvale,Break and Enter,27
Humewood-Cedarvale,Robbery,8
Humewood-Cedarvale,Theft Over,5
Humewood-Cedarvale,bicycle theft,15
Ionview,Assault,100
Ionview,Auto Theft,5
Ionview,Break and Enter,17
Ionview,Robbery,9
Ionview,Theft Over,4
Islington-City Centre West,Assault,215
Islington-City Centre West,Auto Theft,136
Islington-City Centre West,Break and Enter,104
Islington-City Centre West,Robbery,41
Islington-City Centre West,Theft Over,35
Islington-City Centre West,bicycle theft,26
Junction Area,Assault,105
Junction Area,Auto Theft,19
Junction Area,Break and Enter,33
Junction Area,Robbery,8
Junction Area,Theft Over,2
Junction Area,bicycle theft,25
Keelesdale-Eglinton West,Assault,48
Keelesdale-Eglinton West,Auto Theft,15
Keelesdale-Eglinton West,Break and Enter,14
Keelesdale-Eglinton West,Robbery,28
Keelesdale-Eglinton West,bicycle theft,4
Kennedy Park,Assault,216
Kennedy Park,Auto Theft,12
Kennedy Park,Break and Enter,47
Kennedy Park,Robbery,32
Kennedy Park,Theft Over,5
Kennedy Park,bicycle theft,5
Kensington-Chinatown,Assault,341
Kensington-Chinatown,Auto Theft,30
Kensington-Chinatown,Break and Enter,81
Kensington-Chinatown,Robbery,62
Kensington-Chinatown,Theft Over,16
Kensington-Chinatown,bicycle theft,129
Kensington-Chinatown,homicide,5
Kingsview Village-The Westway,Assault,123
Kingsview Village-The Westway,Auto Theft,42
Kingsview Village-The Westway,Break and Enter,34
Kingsview Village-The Westway,Robbery,24
Kingsview Village-The Westway,Theft Over,5
Kingsview Village-The Westway,bicycle theft,2
Kingsview Village-The Westway,homicide,2
Kingsway South,Assault,26
Kingsway South,Auto Theft,9
Kingsway South,Break and Enter,28
Kingsway South,Robbery,8
Kingsway South,Theft Over,2
Kingsway South,bicycle theft,14
L'Amoreaux,Assault,180
L'Amoreaux,Auto Theft,27
L'Amoreaux,Break and Enter,49
L'Amoreaux,Robbery,37
L'Amoreaux,Theft Over,4
L'Amoreaux,bicycle theft,7
L'Amoreaux,homicide,2
Lambton Baby Point,Assault,28
Lambton Baby Point,Auto Theft,1
Lambton Baby Point,Break and Enter,9
Lambton Baby Point,Robbery,6
Lambton Baby Point,Theft Over,1
Lambton Baby Point,bicycle theft,6
Lansing-Westgate,Assault,68
Lansing-Westgate,Auto Theft,27
Lansing-Westgate,Break and Enter,41
Lansing-Westgate,Robbery,9
Lansing-Westgate,Theft Over,5
Lansing-Westgate,bicycle theft,16
Lawrence Park North,Assault,22
Lawrence Park North,Auto Theft,13
Lawrence Park North,Break and Enter,27
Lawrence Park North,Robbery,4
Lawrence Park North,Theft Over,3
Lawrence Park North,bicycle theft,14
Lawrence Park South,Assault,21
Lawrence Park South,Auto Theft,20
Lawrence Park South,Break and Enter,45
Lawrence Park South,Robbery,2
Lawrence Park South,Theft Over,2
Lawrence Park South,bicycle theft,12
Leaside-Bennington,Assault,24
Leaside-Bennington,Auto Theft,4
Leaside-Bennington,Break and Enter,32
Leaside-Bennington,Robbery,8
Leaside-Bennington,Theft Over,2
Leaside-Bennington,bicycle theft,38
Little Portugal,Assault,125
Little Portugal,Auto Theft,13
Little Portugal,Break and Enter,39
Little Portugal,Robbery,10
Little Portugal,Theft Over,3
Little Portugal,bicycle theft,41
Little Portugal,homicide,1
Long Branch,Assault,60
Long Branch,Auto Theft,13
Long Branch,Break and Enter,28
Long Branch,Robbery,5
Long Branch,Theft Over,1
Long Branch,bicycle theft,10
Malvern,Assault,283
Malvern,Auto Theft,36
Malvern,Break and Enter,66
Malvern,Robbery,64
Malvern,Theft Over,8
Malvern,bicycle theft,8
Malvern,homicide,4
Maple Leaf,Assault,45
Maple Leaf,Auto Theft,16
Maple Leaf,Break and Enter,17
Maple Leaf,Robbery,8
Maple Leaf,bicycle theft,1
Markland Wood,Assault,24
Markland Wood,Auto Theft,13
Markland Wood,Break and Enter,19
Markland Wood,Robbery,11
Markland Wood,Theft Over,2
Markland Wood,bicycle theft,1
Milliken,Assault,87
Milliken,Auto Theft,34
Milliken,Break and Enter,67
Milliken,Robbery,40
Milliken,Theft Over,12
Mimico (includes Humber Bay Shores),Assault,242
Mimico (includes Humber Bay Shores),Auto Theft,34
Mimico (includes Humber Bay Shores),Break and Enter,48
Mimico (includes Humber Bay Shores),Robbery,11
Mimico (includes Humber Bay Shores),Theft Over,15
Mimico (includes Humber Bay Shores),bicycle theft,40
Mimico (includes Humber Bay Shores),homicide,1
Morningside,Assault,170
Morningside,Auto Theft,13
Morningside,Break and Enter,19
Morningside,Robbery,13
Morningside,bicycle theft,3
Moss Park,Assault,470
Moss Park,Auto Theft,16
Moss Park,Break and Enter,133
Moss Park,Robbery,123
Moss Park,Theft Over,13
Moss Park,bicycle theft,118
Moss Park,homicide,2
Mount Dennis,Assault,109
Mount Dennis,Auto Theft,14
Mount Dennis,Break and Enter,30
